105
# x y z
22	31	24	25	3.00027709509952e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.72122927544310e+01	3.55454102233265e+01	9.67272109073505e+02	3.55454102233265e+01	1
22	31	25	26	3.00049899220954e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	4.72341224349624e+01	2.05908351205894e+01	9.72590027124042e+02	2.05908351205894e+01	1
22	31	26	27	3.00078215452286e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	6.73809506292209e+01	1.29113247461902e+01	8.69977335280879e+02	1.29113247461902e+01	1
22	31	27	28	3.00074535707388e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.73832048963210e+01	1.32031113645018e+01	7.57636844698153e+02	1.32031113645018e+01	1
22	31	28	29	3.00040563246269e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.00532495293690e+01	2.50325158457286e+01	7.52308445059565e+02	2.50325158457286e+01	1
22	31	29	30	3.00014572953911e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.15804699382328e+01	6.88201221316740e+01	7.96969355491359e+02	6.88201221316740e+01	1
23	32	24	25	3.00004709388268e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	4.70435956134243e+00	2.18512415466375e+02	1.02796097097127e+03	2.18512415466375e+02	1
23	32	25	26	3.00026107919319e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.58114887167960e+01	3.74957713908508e+01	9.67821680182508e+02	3.74957713908508e+01	1
23	32	26	27	3.00046658071158e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	4.47915091658200e+01	2.12218075505072e+01	9.50556787413810e+02	2.12218075505072e+01	1
23	32	27	28	3.00078015218069e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	6.78403543327915e+01	1.26671913612595e+01	8.59346750349119e+02	1.26671913612595e+01	1
23	32	28	29	3.00077231437444e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.73602419607871e+01	1.23794568671301e+01	7.10088641241707e+02	1.23794568671301e+01	1
23	32	29	30	3.00044824287262e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.00904429212131e+01	2.25075510906111e+01	6.77262181388321e+02	2.25075510906111e+01	1
